fid,tid,t_url,t_heading,num_replies,num_views,starter_uid,starter_namelast_post_date
160,2147553327,/discussion.aspx?g=posts&t=2147553327,ALZConnected Moderator’s Guidelines for Participation,0,2903,10052,ALZConnected Moderator,"Friday, July 24, 2020 2:43 PM "
160,2147553332,/discussion.aspx?g=posts&t=2147553332,A Message from the Alzheimer’s Association during Covid-19,0,3048,10052,ALZConnected Moderator,"Tuesday, July 21, 2020 6:10 PM "
160,2147532560,/discussion.aspx?g=posts&t=2147532560,Alzheimer's Association LiveWell Online Resources,0,21292,1,Admin,"Wednesday, September 19, 2018 7:41 AM "
160,2147541034,/discussion.aspx?g=posts&t=2147541034,Call for Applications: Advocates Living with Dementia,0,10671,10002,ALZConnected Admin,"Monday, July 2, 2018 8:47 AM "
160,2147555795,/discussion.aspx?g=posts&t=2147555795,Twelve year anniversary,3,81,2147484334,Iris L.,"Thursday, February 25, 2021 4:42 PM "
160,2147555693,/discussion.aspx?g=posts&t=2147555693,Is the cognitive testing always worth,10,249,2147729134,looking4relief,"Sunday, February 21, 2021 1:10 PM "
160,2147555727,/discussion.aspx?g=posts&t=2147555727,Support Group for EOA,0,77,2147753426,AndreeAndree,"Wednesday, February 17, 2021 9:11 PM "
160,2147549148,/discussion.aspx?g=posts&t=2147549148,Processed foods and health,7,2645,2147575757,Larrytherunner,"Tuesday, February 16, 2021 2:44 AM "
160,2147555037,/discussion.aspx?g=posts&t=2147555037,Misdiagnosis,2,908,2147758828,Sharon Buck,"Sunday, February 14, 2021 5:57 PM "
160,2147553846,/discussion.aspx?g=posts&t=2147553846,Disconnect with motivation,14,2611,2147728690,KawKaw,"Tuesday, December 29, 2020 11:28 AM "
160,2147554866,/discussion.aspx?g=posts&t=2147554866,Rage,5,1447,2147541486,Dustermaster,"Sunday, December 27, 2020 10:33 PM "
160,2147534193,/discussion.aspx?g=posts&t=2147534193,"Exercise, study focuses on benefits for those with vascular.",2,8824,2147483918,Mimi S.,"Friday, December 18, 2020 3:19 AM "
160,2147542861,/discussion.aspx?g=posts&t=2147542861,How did you handle the diagnosis?,28,8159,2147669054,Ed1937,"Tuesday, December 1, 2020 9:34 PM "
160,2147546102,/discussion.aspx?g=posts&t=2147546102,Typing with Dementia?,13,7179,2147702895,Vik,"Tuesday, December 1, 2020 7:45 AM "
160,2147553361,/discussion.aspx?g=posts&t=2147553361,We all won for a better place to exchange our thoughts.,1,2446,2147483942,Michael Ellenbogen,"Monday, November 23, 2020 12:54 AM "
160,2147554651,/discussion.aspx?g=posts&t=2147554651,Feel free to share this.,0,1128,2147483942,Michael Ellenbogen,"Thursday, November 12, 2020 8:52 AM "
160,2147554556,/discussion.aspx?g=posts&t=2147554556,Recently diagnosed with Dementia - Caused or Triggered by COVID-19,3,1454,2147696191,RetiredGeek,"Thursday, November 5, 2020 3:22 PM "
160,2147552847,/discussion.aspx?g=posts&t=2147552847,40% of PWCs live alone,2,3318,2147484334,Iris L.,"Monday, November 2, 2020 6:15 PM "
160,2147552716,/discussion.aspx?g=posts&t=2147552716,Overwhelmed,33,6721,2147743440,dbbwlk,"Sunday, November 1, 2020 11:00 AM "
160,2147554508,/discussion.aspx?g=posts&t=2147554508,AA online support groups or education,0,1190,2147483942,Michael Ellenbogen,"Thursday, October 29, 2020 10:18 AM "
160,2147554390,/discussion.aspx?g=posts&t=2147554390,The 2020 National Alzheimer's Summit,2,1231,2147483942,Michael Ellenbogen,"Monday, October 19, 2020 1:12 PM "
160,2147544421,/discussion.aspx?g=posts&t=2147544421,amyloid,29,6771,2147692716,sheilajoe,"Tuesday, September 29, 2020 8:08 AM "
160,2147553956,/discussion.aspx?g=posts&t=2147553956,Endocrinologist -- thyroid treatment to possibly help with MCI,7,1717,2147728690,KawKaw,"Sunday, September 13, 2020 3:25 PM "
160,2147552979,/discussion.aspx?g=posts&t=2147552979,Best Practices,3,3208,2147743440,dbbwlk,"Friday, September 11, 2020 12:54 PM "
160,2147553757,/discussion.aspx?g=posts&t=2147553757,Met with Neuropsychiatrist,12,2151,2147728690,KawKaw,"Monday, September 7, 2020 10:48 PM "
160,2147553496,/discussion.aspx?g=posts&t=2147553496,Making AD a friendly neighbor,8,2610,2147738418,SF Unforgettables,"Friday, August 14, 2020 12:57 PM "
160,2147553617,/discussion.aspx?g=posts&t=2147553617,Talking with my relatives is getting to be painful,5,2401,2147484334,Iris L.,"Friday, August 14, 2020 9:18 AM "
160,2147553385,/discussion.aspx?g=posts&t=2147553385,To the PWDs of this site,11,2680,2147709090,lizziepooh,"Friday, July 31, 2020 7:08 PM "
160,2147553425,/discussion.aspx?g=posts&t=2147553425,Another with Mild Cognitive Impairment,13,2545,2147728690,KawKaw,"Friday, July 31, 2020 12:15 PM "
160,2147553460,/discussion.aspx?g=posts&t=2147553460,A not-so-spectacular day,2,2132,2147728690,KawKaw,"Wednesday, July 29, 2020 4:16 PM "
160,2147553467,/discussion.aspx?g=posts&t=2147553467,[Registration OPEN!] 2020 National Alzheimer's Summit,0,2255,2147483942,Michael Ellenbogen,"Wednesday, July 29, 2020 7:42 AM "
160,2147552661,/discussion.aspx?g=posts&t=2147552661,Psen testing,7,4569,2147743068,tk197040,"Friday, July 3, 2020 4:16 PM "
160,2147552977,/discussion.aspx?g=posts&t=2147552977,Post Diagnsis,3,2604,2147743440,dbbwlk,"Monday, June 29, 2020 3:44 PM "
160,2147543230,/discussion.aspx?g=posts&t=2147543230,Supplementation to treat/reverse MCI and ALZ - verification,29,9272,2147685754,Rich L,"Sunday, June 28, 2020 4:51 PM "
160,2147552337,/discussion.aspx?g=posts&t=2147552337,AARP Coronavirus Tele-Town Hall is Today(1),0,3955,10052,ALZConnected Moderator,"Thursday, April 30, 2020 6:20 AM "
160,2147551923,/discussion.aspx?g=posts&t=2147551923,Alzheimers Association Apology.,5,4450,2147483942,Michael Ellenbogen,"Thursday, April 23, 2020 12:57 PM "
160,2147552245,/discussion.aspx?g=posts&t=2147552245,AARP Coronavirus Tele-Town Hall is Today,0,3326,10052,ALZConnected Moderator,"Thursday, April 23, 2020 7:16 AM "
160,2147552208,/discussion.aspx?g=posts&t=2147552208,Frequently Asked Questions During COVID-19: Association Blog Post,0,3499,10052,ALZConnected Moderator,"Monday, April 20, 2020 9:20 AM "
160,2147502193,/discussion.aspx?g=posts&t=2147502193,To Lift Our Spirits--OT,33,22326,2147484334,Iris L.,"Friday, April 17, 2020 5:49 PM "
160,2147552154,/discussion.aspx?g=posts&t=2147552154,AARP Coronavirus Tele-Town Hall is Today: Telehealth,0,3522,10052,ALZConnected Moderator,"Thursday, April 16, 2020 8:48 AM "
160,2147552069,/discussion.aspx?g=posts&t=2147552069,AARP Coronavirus Tele-Town Hall (Thursdays),0,3449,10052,ALZConnected Moderator,"Friday, April 10, 2020 9:04 AM "
160,2147552054,/discussion.aspx?g=posts&t=2147552054,MedicAlert LIVE Healthy Hour_April 15,0,3170,10052,ALZConnected Moderator,"Thursday, April 9, 2020 12:59 PM "
160,2147552036,/discussion.aspx?g=posts&t=2147552036,Activities at Home,0,2955,10052,ALZConnected Moderator,"Wednesday, April 8, 2020 11:45 AM "
160,2147551990,/discussion.aspx?g=posts&t=2147551990,Covid-19 Resources,0,2973,10052,ALZConnected Moderator,"Monday, April 6, 2020 5:12 PM "
160,2147551941,/discussion.aspx?g=posts&t=2147551941,Easy Stress-Busting Strategy #3: Guided Imagery,0,2996,10052,ALZConnected Moderator,"Friday, April 3, 2020 1:19 PM "
160,2147551918,/discussion.aspx?g=posts&t=2147551918,Do you ever wonder why the information you get from AA is always too late? AARP Coronavirus Tele-Town Hall.,0,2888,2147483942,Michael Ellenbogen,"Thursday, April 2, 2020 5:17 PM "
160,2147551913,/discussion.aspx?g=posts&t=2147551913,AARP Coronavirus Tele-Town Hall,0,3021,10052,ALZConnected Moderator,"Thursday, April 2, 2020 5:04 PM "
160,2147551900,/discussion.aspx?g=posts&t=2147551900,Creative Planning - The CARES Act Presentations and Updated Reference Guide,0,2719,2147483942,Michael Ellenbogen,"Thursday, April 2, 2020 8:48 AM "
160,2147551882,/discussion.aspx?g=posts&t=2147551882,Easy Stress-Busting Strategy #2,0,2534,10052,ALZConnected Moderator,"Wednesday, April 1, 2020 2:09 PM "
160,2147551857,/discussion.aspx?g=posts&t=2147551857,ALZHEIMER'S ASSOCIATION: Easy Stress-Busting Strategy #1,0,2531,10052,ALZConnected Moderator,"Wednesday, April 1, 2020 8:55 AM "
160,2147551819,/discussion.aspx?g=posts&t=2147551819,Coronavirus (COVID-19): Tips for Dementia Caregivers in Long-Term or Community-Based Settings,0,2526,2147483942,Michael Ellenbogen,"Monday, March 30, 2020 12:25 PM "
160,2147551815,/discussion.aspx?g=posts&t=2147551815,FDA issues emergency authorization of anti-malaria drug for coronavirus care,1,2501,2147483942,Michael Ellenbogen,"Monday, March 30, 2020 12:25 PM "
160,2147551000,/discussion.aspx?g=posts&t=2147551000,Life/viatical settlements,1,2908,2147735871,Buddy814,"Monday, March 30, 2020 10:31 AM "
160,2147551811,/discussion.aspx?g=posts&t=2147551811,ALZHEIMER'S ASSOCIATION: 6 Tips to Relieve Stress during the Coronavirus crisis,0,2254,10052,ALZConnected Moderator,"Monday, March 30, 2020 9:52 AM "
160,2147551720,/discussion.aspx?g=posts&t=2147551720,ALZHEIMER'S ASSOCIATION: AARP Coronavirus Tele-Town Hall is Today,0,2278,10052,ALZConnected Moderator,"Thursday, March 26, 2020 11:43 AM "
160,2147551714,/discussion.aspx?g=posts&t=2147551714,FYI - Today only,0,2261,2147483942,Michael Ellenbogen,"Thursday, March 26, 2020 9:38 AM "
160,2147551684,/discussion.aspx?g=posts&t=2147551684,This is on NOW,0,2110,2147483942,Michael Ellenbogen,"Wednesday, March 25, 2020 1:07 PM "
160,2147551662,/discussion.aspx?g=posts&t=2147551662,Information you can trust and a safe place to connect,0,2133,10052,ALZConnected Moderator,"Tuesday, March 24, 2020 2:00 PM "
160,2147550168,/discussion.aspx?g=posts&t=2147550168,Have you heard of promising research aside for Alzheimer?,29,4684,2147729134,looking4relief,"Tuesday, March 17, 2020 1:20 PM "
160,2147550209,/discussion.aspx?g=posts&t=2147550209,No diagnosis yet but this has taken over my life,1,3021,2147729134,looking4relief,"Monday, March 9, 2020 2:27 PM "
160,2147551386,/discussion.aspx?g=posts&t=2147551386,Please let me know if you are anyone you know was impacted by this,0,1802,2147483942,Michael Ellenbogen,"Sunday, March 8, 2020 10:21 AM "
160,2147551040,/discussion.aspx?g=posts&t=2147551040,What does everyone think about Noscapine treatment for Alzheimer's?,2,2142,2147736170,SarahAdams,"Tuesday, February 25, 2020 10:07 PM "
160,2147549240,/discussion.aspx?g=posts&t=2147549240,Are you afraid?,1,2759,2147483942,Michael Ellenbogen,"Sunday, February 23, 2020 11:59 AM "
160,2147550056,/discussion.aspx?g=posts&t=2147550056,Can some of you relate to this,24,3247,2147729134,looking4relief,"Saturday, December 7, 2019 1:18 PM "
160,2147550039,/discussion.aspx?g=posts&t=2147550039,This is the highlight of my life.,3,2365,2147483942,Michael Ellenbogen,"Friday, November 29, 2019 8:33 AM "
160,2147545528,/discussion.aspx?g=posts&t=2147545528,Request to be connected,4,3750,2147483918,Mimi S.,"Sunday, November 24, 2019 7:31 PM "
160,2147549849,/discussion.aspx?g=posts&t=2147549849,I have been very brave until now.,3,2703,2147483942,Michael Ellenbogen,"Sunday, November 24, 2019 7:15 PM "
160,2147549936,/discussion.aspx?g=posts&t=2147549936,I give full permission to use my information.,0,2305,2147483942,Michael Ellenbogen,"Friday, November 22, 2019 7:18 AM "
160,2147546154,/discussion.aspx?g=posts&t=2147546154,What would you tell your future care partner?,9,4140,2147661839,LicketyGlitz,"Sunday, November 17, 2019 6:11 PM "
160,2147549821,/discussion.aspx?g=posts&t=2147549821,I am connected to so many of you.,0,2251,2147483942,Michael Ellenbogen,"Thursday, November 14, 2019 7:54 AM "
160,2147546097,/discussion.aspx?g=posts&t=2147546097,After a diagnosis for the solo patient...,4,3760,2147484334,Iris L.,"Tuesday, November 5, 2019 2:02 PM "
160,2147546083,/discussion.aspx?g=posts&t=2147546083,Going through day-to-day activities :,5,3385,2147704066,Charles 1,"Monday, November 4, 2019 12:46 PM "
160,2147546136,/discussion.aspx?g=posts&t=2147546136,National Napping Day!,3,2968,2147702895,Vik,"Monday, November 4, 2019 12:44 PM "
160,2147546141,/discussion.aspx?g=posts&t=2147546141,Vik re:falling,4,3134,2147484334,Iris L.,"Monday, November 4, 2019 12:43 PM "
160,2147546140,/discussion.aspx?g=posts&t=2147546140,Natl.Institues of Health about Dememtia,7,3009,2147702895,Vik,"Monday, November 4, 2019 12:42 PM "
160,2147546220,/discussion.aspx?g=posts&t=2147546220,Finally able to laff.,11,3476,2147702895,Vik,"Monday, November 4, 2019 12:41 PM "
160,2147546130,/discussion.aspx?g=posts&t=2147546130,News from Teepa Snow,5,3341,2147702895,Vik,"Monday, November 4, 2019 12:40 PM "
160,2147545494,/discussion.aspx?g=posts&t=2147545494,Smartphone addiction,6,3473,2147575757,Larrytherunner,"Monday, November 4, 2019 12:39 PM "
160,2147545071,/discussion.aspx?g=posts&t=2147545071,2019 - A year of opportunity,6,3919,2147696867,Bill Bridgwater,"Monday, November 4, 2019 12:39 PM "
160,2147545335,/discussion.aspx?g=posts&t=2147545335,Insurance focused vs patient focsed healthcare,7,3264,2147575757,Larrytherunner,"Monday, November 4, 2019 12:38 PM "
160,2147545412,/discussion.aspx?g=posts&t=2147545412,New Diagnosis - Dementia Very Likely Alzheimer's,21,5643,2147696191,RetiredGeek,"Sunday, November 3, 2019 3:28 PM "
160,2147549470,/discussion.aspx?g=posts&t=2147549470,Trans Fats Can Increases Alzheimer’s Risk By 75%,3,2558,2147713009,BobReny,"Thursday, October 31, 2019 6:00 PM "
160,2147549568,/discussion.aspx?g=posts&t=2147549568,"$1,000 REWARD",2,2636,2147483942,Michael Ellenbogen,"Wednesday, October 30, 2019 7:31 AM "
160,2147549580,/discussion.aspx?g=posts&t=2147549580,Hot of the press,0,1986,2147483942,Michael Ellenbogen,"Tuesday, October 29, 2019 9:28 AM "
