fid,tid,t_url,t_heading,num_replies,num_views,starter_uid,starter_namelast_post_date
157,2147553323,/discussion.aspx?g=posts&t=2147553323,ALZConnected Moderator’s Guidelines for Participation,0,2509,10052,ALZConnected Moderator,"Friday, July 24, 2020 2:44 PM "
157,2147555762,/discussion.aspx?g=posts&t=2147555762,Life after,2,109,2147615996,chrisp1653,"Wednesday, February 24, 2021 2:12 PM "
157,2147555670,/discussion.aspx?g=posts&t=2147555670,Happy Happy Happy,9,335,2147644496,ruthmendez,"Tuesday, February 16, 2021 1:11 PM "
157,2147553149,/discussion.aspx?g=posts&t=2147553149,A magnificent song about Alzheimer's,3,2443,2147746216,Larkspirit,"Wednesday, February 10, 2021 2:13 PM "
157,2147555643,/discussion.aspx?g=posts&t=2147555643,The road to closure,1,192,2147615996,chrisp1653,"Tuesday, February 9, 2021 4:33 PM "
157,2147555622,/discussion.aspx?g=posts&t=2147555622,Feeling overwhelmed,1,266,2147757045,Rhk66,"Tuesday, February 9, 2021 2:22 PM "
157,2147554851,/discussion.aspx?g=posts&t=2147554851,christmas smiles,8,1490,2147747453,tiredruth,"Thursday, January 21, 2021 1:57 PM "
157,2147555241,/discussion.aspx?g=posts&t=2147555241,I recently had a nervous breakdown over the loss of my mother's dog.,1,675,2147759873,vinm134,"Thursday, January 21, 2021 1:44 PM "
157,2147554931,/discussion.aspx?g=posts&t=2147554931,Heartbroken and stuck,2,1256,2147758173,TBelle,"Wednesday, December 23, 2020 9:42 AM "
157,2147554220,/discussion.aspx?g=posts&t=2147554220,What you need?,6,2037,2147644496,ruthmendez,"Monday, December 21, 2020 8:43 PM "
157,2147552914,/discussion.aspx?g=posts&t=2147552914,Moderator- My stress busting strategy.,10,3612,2147660814,markus8174,"Sunday, December 13, 2020 7:27 PM "
157,2147554794,/discussion.aspx?g=posts&t=2147554794,Does She Ask For Me?,4,1498,2147589742,abc123,"Friday, December 4, 2020 12:49 PM "
