fid,tid,t_url,t_heading,num_replies,num_views,starter_uid,starter_namelast_post_date
152,2147553326,/discussion.aspx?g=posts&t=2147553326,ALZConnected Moderator’s Guidelines for Participation,0,2676,10052,ALZConnected Moderator,"Friday, July 24, 2020 2:42 PM "
152,2147553331,/discussion.aspx?g=posts&t=2147553331,A Message from the Alzheimer’s Association during Covid-19,0,2862,10052,ALZConnected Moderator,"Tuesday, July 21, 2020 6:09 PM "
152,2147541035,/discussion.aspx?g=posts&t=2147541035,Call for Applications: Advocates Living with Dementia,0,9155,10002,ALZConnected Admin,"Wednesday, March 25, 2020 12:26 PM "
152,2147532561,/discussion.aspx?g=posts&t=2147532561,Alzheimer's Association LiveWell Online Resources,0,16383,1,Admin,"Friday, May 4, 2018 7:15 AM "
152,2147555829,/discussion.aspx?g=posts&t=2147555829,remember the peanut butter smell test?,3,46,2147523148,alz+,"Friday, February 26, 2021 1:20 AM "
152,2147555674,/discussion.aspx?g=posts&t=2147555674,PBS Living With Alzheimer's,6,204,2147523148,alz+,"Thursday, February 25, 2021 12:49 PM "
152,2147555782,/discussion.aspx?g=posts&t=2147555782,Free On-Line Activities,1,61,2147753426,AndreeAndree,"Monday, February 22, 2021 10:04 PM "
152,2147535364,/discussion.aspx?g=posts&t=2147535364,Children of Parents Diagnosed with Early Onset,53,13687,2147617918,iwantmymomback,"Saturday, February 20, 2021 8:15 PM "
152,2147555676,/discussion.aspx?g=posts&t=2147555676,IRIS(9),6,203,2147484236,Jo C.,"Sunday, February 14, 2021 12:39 PM "
152,2147552954,/discussion.aspx?g=posts&t=2147552954,Very young. Progressing rapidly.,10,3228,2147745111,itsPhil,"Wednesday, February 10, 2021 5:10 AM "
152,2147553272,/discussion.aspx?g=posts&t=2147553272,Early onset Alzheimer’s support,19,3417,2147746832,Eleanorrossbotham,"Tuesday, February 9, 2021 11:29 PM "
152,2147555630,/discussion.aspx?g=posts&t=2147555630,Benefit of therapist or Psychologist for husband,1,111,2147709955,PRW,"Monday, February 8, 2021 2:24 PM "
152,2147555326,/discussion.aspx?g=posts&t=2147555326,self care,4,758,2147523148,alz+,"Saturday, January 16, 2021 3:09 PM "
152,2147555217,/discussion.aspx?g=posts&t=2147555217,CBD oil and depression - inertia,10,906,2147523148,alz+,"Monday, January 11, 2021 4:31 PM "
152,2147555287,/discussion.aspx?g=posts&t=2147555287,letting off steam,3,622,2147523148,alz+,"Friday, January 8, 2021 3:17 PM "
152,2147555151,/discussion.aspx?g=posts&t=2147555151,How are you handling the lockdowns and isolation ?,6,793,2147484334,Iris L.,"Monday, January 4, 2021 11:49 PM "
152,2147555190,/discussion.aspx?g=posts&t=2147555190,Happy New Year Everyone!!!!,6,705,2147536600,llee08032,"Monday, January 4, 2021 11:23 PM "
152,2147555236,/discussion.aspx?g=posts&t=2147555236,Another one of my Podcast.,2,503,2147483942,Michael Ellenbogen,"Monday, January 4, 2021 5:31 PM "
152,2147554927,/discussion.aspx?g=posts&t=2147554927,Introduction(1),5,991,2147758111,Roykc,"Monday, January 4, 2021 10:15 AM "
152,2147555174,/discussion.aspx?g=posts&t=2147555174,vision changes,1,675,2147523148,alz+,"Thursday, December 31, 2020 12:09 PM "
152,2147555027,/discussion.aspx?g=posts&t=2147555027,Need your help with Emergency Room Experiences,4,756,2147483942,Michael Ellenbogen,"Thursday, December 31, 2020 11:57 AM "
152,2147555121,/discussion.aspx?g=posts&t=2147555121,My dad with early onset abused me growing up,3,629,2147759270,jk356520,"Wednesday, December 30, 2020 9:35 AM "
